date,baseline_week,interval_idx,week_used,rating,used_unpatched,used_patched
2025-05-16,1,5,1,good,16,44
2025-05-16,1,6,1,good,16,44
2025-05-16,1,7,1,good,16,44
2025-05-16,1,8,1,good,16,44
2025-05-17,1,1,1,good,17,43
2025-05-17,1,2,1,good,17,43
2025-05-17,1,3,1,good,17,43
2025-05-17,1,4,1,good,17,43
2025-05-17,1,5,1,good,17,43
2025-05-17,1,6,1,good,17,43
2025-05-17,1,7,1,good,17,43
2025-05-17,1,8,1,good,17,43
2025-05-18,1,1,1,good,18,42
2025-05-18,1,2,1,good,18,42
2025-05-18,1,3,1,good,18,42
2025-05-18,1,4,1,good,18,42
2025-05-18,1,5,1,good,18,42
2025-05-18,1,6,1,good,18,42
2025-05-18,1,1,1,good,18,42
2025-05-21,1,1,1,good,19,41
2025-05-21,1,2,1,good,19,41
2025-05-21,1,3,1,good,19,41
2025-05-21,1,4,1,good,19,41
2025-05-21,1,5,1,good,19,41
2025-05-21,1,6,1,good,19,41
2025-05-21,1,7,1,good,19,41
2025-05-21,1,8,1,good,19,41
2025-05-22,1,1,1,good,20,40
2025-05-22,1,2,1,good,20,40
2025-05-22,1,3,1,good,20,40
2025-05-22,1,4,1,good,20,40
2025-05-22,1,5,1,good,20,40
2025-05-22,1,6,1,good,20,40
2025-05-22,1,7,1,good,20,40
2025-05-22,1,8,1,good,20,40
2025-05-23,1,1,1,good,20,40
2025-05-23,1,2,1,good,20,40
2025-05-23,1,3,1,good,20,40
2025-05-23,1,4,1,good,20,40
2025-05-23,1,5,1,good,20,40
2025-05-23,1,6,1,good,20,40
2025-05-23,1,7,1,good,20,40
2025-05-23,1,8,1,good,20,40
2025-05-24,1,1,1,good,20,40
2025-05-24,1,2,1,good,20,40
2025-05-24,1,3,1,good,20,40
2025-05-24,1,4,1,good,20,40
2025-05-24,1,5,1,good,20,40
2025-05-24,1,6,1,good,20,40
2025-05-24,1,7,1,good,20,40
2025-05-24,1,8,1,good,20,40
2025-05-25,1,1,1,good,21,39
2025-05-25,1,2,1,good,21,39
2025-05-25,1,3,1,good,21,39
2025-05-25,1,4,1,good,21,39
2025-05-25,1,5,1,good,21,39
2025-05-25,1,6,1,good,21,39
2025-05-25,1,7,1,good,21,39
2025-05-28,1,1,1,good,22,38
2025-05-28,1,2,1,good,22,38
2025-05-28,1,3,1,good,22,38
2025-05-28,1,4,1,good,22,38
2025-05-28,1,5,1,good,22,38
2025-05-28,1,6,1,good,22,38
2025-05-29,1,1,1,good,22,38
2025-05-29,1,2,1,good,22,38
2025-05-29,1,3,1,good,22,38
2025-05-29,1,4,1,good,22,38
2025-05-29,1,5,1,good,22,38
2025-05-29,1,6,1,good,22,38
2025-05-29,1,7,1,good,22,38
2025-05-29,1,8,1,good,22,38
2025-05-30,1,1,1,good,23,37
2025-05-30,1,2,1,good,23,37
2025-05-30,1,3,1,good,23,37
2025-05-30,1,4,1,good,23,37
2025-05-30,1,5,1,good,23,37
2025-05-30,1,6,1,good,23,37
2025-05-30,1,7,1,good,23,37
2025-05-30,1,8,1,good,23,37
2025-05-31,1,1,1,good,24,36
2025-05-31,1,2,1,good,24,36
2025-05-31,1,3,1,good,24,36
2025-05-31,1,4,1,good,24,36
2025-05-31,1,5,1,good,24,36
2025-05-31,1,6,1,good,24,36
2025-05-31,1,7,1,good,24,36
2025-05-31,1,8,1,good,24,36
2025-06-01,1,1,1,good,25,35
2025-06-01,1,2,1,good,25,35
2025-06-01,1,3,1,good,25,35
2025-06-01,1,4,1,good,25,35
2025-06-01,1,5,1,good,25,35
2025-06-01,1,6,1,good,25,35
2025-06-01,1,7,1,good,25,35
2025-06-04,1,1,1,good,26,34
2025-06-04,1,2,1,good,26,34
2025-06-04,1,3,1,good,26,34
2025-06-04,1,4,1,good,26,34
2025-06-04,1,5,1,good,26,34
2025-06-04,1,6,1,good,26,34
2025-06-04,1,7,1,good,26,34
2025-06-04,1,8,1,good,26,34
2025-06-05,1,1,1,good,27,33
2025-06-05,1,2,1,good,27,33
2025-06-05,1,3,1,good,27,33
2025-06-05,1,4,1,good,27,33
2025-06-05,1,5,1,good,27,33
2025-06-05,1,6,1,good,27,33
2025-06-05,1,7,1,tired,27,33
2025-06-06,1,1,1,good,27,33
2025-06-06,1,2,1,good,27,33
2025-06-06,1,3,1,good,27,33
2025-06-06,1,4,1,good,27,33
2025-06-06,1,5,1,good,27,33
2025-06-06,1,6,1,good,27,33
2025-06-07,1,1,1,good,27,33
2025-06-07,1,2,1,good,27,33
2025-06-07,1,3,1,good,27,33
2025-06-07,1,4,1,good,27,33
2025-06-07,1,5,1,good,27,33
2025-06-07,1,6,1,good,27,33
2025-06-07,1,7,1,good,27,33
2025-06-08,1,1,1,good,27,33
2025-06-08,1,2,1,good,27,33
2025-06-08,1,3,1,good,27,33
2025-06-08,1,4,1,good,27,33
2025-06-08,1,5,1,good,27,33
2025-06-18,1,1,1,good,20,40
2025-06-18,1,2,1,good,20,40
2025-06-18,1,3,1,good,20,40
2025-06-18,1,4,1,good,20,40
2025-06-18,1,5,1,good,20,40
2025-06-18,1,6,1,good,20,40
2025-06-18,1,7,1,good,20,40
2025-06-18,1,8,1,good,20,40
2025-06-19,3,1,3,good,25,35
2025-06-19,3,2,3,good,25,35
2025-06-19,3,3,3,good,25,35
2025-06-19,3,4,3,good,25,35
2025-06-19,3,5,3,good,25,35
2025-06-19,3,6,3,good,25,35
2025-06-19,3,7,3,good,25,35
2025-06-19,3,8,3,good,27,33
2025-06-20,3,1,3,good,28,32
2025-06-20,3,2,3,good,28,32
2025-06-20,3,3,3,good,28,32
2025-06-20,3,4,3,good,28,32
2025-06-20,3,5,3,good,28,32
2025-06-20,3,6,3,good,28,32
2025-06-20,3,7,3,good,28,32
2025-06-20,3,8,3,good,28,32
2025-06-21,3,1,3,good,28,32
2025-06-21,3,2,3,good,28,32
2025-06-21,3,3,3,good,28,32
2025-06-21,3,4,3,good,28,32
2025-06-21,3,5,3,good,28,32
2025-06-21,3,6,3,good,28,32
2025-06-21,3,7,3,good,28,32
2025-06-21,3,8,3,good,28,32
2025-06-22,3,1,3,good,30,30
2025-06-22,3,2,3,good,30,30
2025-06-22,3,3,3,good,30,30
2025-06-22,3,4,3,good,30,30
2025-06-22,3,5,3,good,30,30
2025-06-22,3,6,3,good,30,30
2025-06-22,3,7,3,good,30,30
2025-06-22,3,8,3,good,30,30
2025-06-25,4,1,4,good,30,30
2025-06-25,4,2,4,good,30,30
2025-06-25,4,3,4,good,30,30
2025-06-25,4,4,4,good,30,30
2025-06-25,4,5,4,good,30,30
2025-06-25,4,6,4,good,30,30
2025-06-25,4,7,4,good,30,30
2025-06-25,4,8,4,good,30,30
2025-06-26,4,1,4,good,31,29
2025-06-26,4,2,4,good,31,29
2025-06-26,4,3,4,good,31,29
2025-06-26,4,4,4,good,31,29
2025-06-26,4,5,4,good,31,29
2025-06-26,4,6,4,good,31,29
2025-06-26,4,7,4,good,31,29
2025-06-26,4,8,4,good,31,29
2025-06-27,4,1,4,good,32,28
2025-06-27,4,2,4,good,32,28
2025-06-27,4,3,4,good,32,28
2025-06-27,4,4,4,good,32,28
2025-06-27,4,5,4,good,32,28
2025-06-27,4,6,4,good,32,28
2025-06-27,4,7,4,good,32,28
2025-06-27,4,8,4,good,32,28
2025-06-28,4,1,4,good,33,27
2025-06-28,4,2,4,good,33,27
2025-06-28,4,3,4,good,33,27
2025-06-28,4,4,4,good,33,27
2025-06-28,4,5,4,good,33,27
2025-06-28,4,6,4,good,33,27
2025-06-28,4,7,4,good,33,27
